Dataset	ADMM_InputGroup_bestK	ADMM_InputGroup_best2K	ADMM_InputGroup_TrainAUC	ADMM_InputGroup_TrainAUPRC	ADMM_InputGroup_AUC	ADMM_InputGroup_AUPRC
ring_8_1000	1.0	1.0	0.4060447895512991	0.42967233270024274	0.4056230583811827	0.43682501151037667
ring_16_1000	1.0	1.0	0.4178340318352371	0.4319717781464254	0.4128491851396152	0.4367483979994162
ring_32_1000	1.0	1.0	0.3832765294666572	0.4459131944232671	0.3625389772938728	0.4453547102066698
ring_64_1000	0.8333333333333334	0.8333333333333334	0.5026016660846521	0.5164432834319779	0.514408747316977	0.5305019931704255
ring_128_1000	0.5833333333333334	0.75	0.6406360597160895	0.623501412450893	0.577643373095582	0.5738652010377853
ring_256_1000	0.3333333333333333	0.4166666666666667	0.9666049634338817	0.9702370533066879	0.4841664712525439	0.5274780690659863
ring_512_1000	0.16666666666666666	0.4166666666666667	0.9971494904944816	0.9975006125219696	0.5086165768738887	0.5468611455747904
ring_1024_1000	0.16666666666666666	0.16666666666666666	0.9886715721274871	0.9902099907008489	0.5341559065352103	0.5676271859153702
ring_2048_1000	0.0	0.0	0.9492127664396675	0.9458132308277191	0.4990069734872012	0.4947207568947854
