method,dataset,n,best_k,best_2k
ShapleyValueSampling,ring,128,0.0,0.0
ShapleyValueSampling,ring+xor,8,0.625,1.0
ShapleyValueSampling,ring+xor,32,0.375,0.4166666666666667
ShapleyValueSampling,ring+xor,128,0.125,0.125
ShapleyValueSampling,ring+xor+sum,8,0.8055555555555555,1.0
ShapleyValueSampling,ring+xor+sum,32,0.5555555555555555,0.7222222222222223
ShapleyValueSampling,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
SmoothGrad,xor,8,1.0,1.0
SmoothGrad,xor,32,0.9166666666666666,1.0
SmoothGrad,xor,128,0.0,0.0
SmoothGrad,ring,8,0.3333333333333333,0.5833333333333334
SmoothGrad,ring,32,0.08333333333333333,0.08333333333333333
SmoothGrad,ring,128,0.0,0.0
SmoothGrad,ring+xor,8,0.5833333333333334,1.0
SmoothGrad,ring+xor,32,0.375,0.5
SmoothGrad,ring+xor,128,0.125,0.125
SmoothGrad,ring+xor+sum,8,0.8333333333333334,1.0
SmoothGrad,ring+xor+sum,32,0.611111111111111,0.6666666666666666
SmoothGrad,ring+xor+sum,128,0.16666666666666666,0.2222222222222222
admm_global,xor,8,,
admm_global,xor,32,,
admm_global,xor,128,,
admm_global,ring,8,,
admm_global,ring,32,,
admm_global,ring,128,,
admm_global,ring+xor,8,,
admm_global,ring+xor,32,,
admm_global,ring+xor,128,,
admm_global,ring+xor+sum,8,0.75,1.0
admm_global,ring+xor+sum,32,0.1111111111111111,0.27777777777777773
admm_global,ring+xor+sum,128,0.0,0.08333333333333333
cae,xor,8,0.16666666666666666,0.6666666666666666
cae,xor,32,0.0,0.08333333333333333
cae,xor,128,0.0,0.0
cae,ring,8,0.25,0.5
cae,ring,32,0.0,0.08333333333333333
cae,ring,128,0.0,0.0
cae,ring+xor,8,0.5416666666666666,1.0
cae,ring+xor,32,0.16666666666666666,0.2916666666666667
cae,ring+xor,128,0.041666666666666664,0.041666666666666664
cae,ring+xor+sum,8,0.8055555555555555,1.0
cae,ring+xor+sum,32,0.08333333333333333,0.24999999999999997
cae,ring+xor+sum,128,0.05555555555555555,0.027777777777777776
canceloutsigmoid,xor,8,1.0,1.0
canceloutsigmoid,xor,32,0.75,0.75
canceloutsigmoid,xor,128,0.16666666666666666,0.16666666666666666
canceloutsigmoid,ring,8,0.4166666666666667,0.6666666666666666
canceloutsigmoid,ring,32,0.0,0.16666666666666666
canceloutsigmoid,ring,128,0.0,0.0
canceloutsigmoid,ring+xor,8,0.6666666666666666,1.0
canceloutsigmoid,ring+xor,32,0.5,0.5416666666666666
canceloutsigmoid,ring+xor,128,0.041666666666666664,0.041666666666666664
canceloutsigmoid,ring+xor+sum,8,0.8611111111111112,1.0
canceloutsigmoid,ring+xor+sum,32,0.4444444444444445,0.638888888888889
canceloutsigmoid,ring+xor+sum,128,0.27777777777777773,0.38888888888888884
canceloutsoftmax,xor,8,0.5833333333333334,0.9166666666666666
canceloutsoftmax,xor,32,0.0,0.25
canceloutsoftmax,xor,128,0.08333333333333333,0.08333333333333333
canceloutsoftmax,ring,8,0.3333333333333333,0.5833333333333334
canceloutsoftmax,ring,32,0.16666666666666666,0.25
canceloutsoftmax,ring,128,0.0,0.0
canceloutsoftmax,ring+xor,8,0.625,1.0
canceloutsoftmax,ring+xor,32,0.08333333333333333,0.2916666666666667
canceloutsoftmax,ring+xor,128,0.08333333333333333,0.20833333333333334
canceloutsoftmax,ring+xor+sum,8,0.8055555555555555,1.0
canceloutsoftmax,ring+xor+sum,32,0.3333333333333333,0.47222222222222215
canceloutsoftmax,ring+xor+sum,128,0.13888888888888887,0.16666666666666666
deeppink,xor,8,0.25,0.5
deeppink,xor,32,0.16666666666666666,0.25
deeppink,xor,128,0.0,0.0
deeppink,ring,8,0.25,0.5
deeppink,ring,32,0.0,0.08333333333333333
deeppink,ring,128,0.0,0.0
deeppink,ring+xor,8,0.4166666666666667,1.0
deeppink,ring+xor,32,0.16666666666666666,0.2916666666666667
deeppink,ring+xor,128,0.0,0.041666666666666664
deeppink,ring+xor+sum,8,0.8055555555555555,1.0
deeppink,ring+xor+sum,32,0.27777777777777773,0.4166666666666667
deeppink,ring+xor+sum,128,0.3055555555555555,0.3333333333333333
fsnet,xor,8,0.8333333333333334,0.9166666666666666
fsnet,xor,32,0.6666666666666666,0.8333333333333334
fsnet,xor,128,0.0,0.08333333333333333
fsnet,ring,8,0.0,0.0
fsnet,ring,32,0.16666666666666666,0.3333333333333333
fsnet,ring,128,0.0,0.0
fsnet,ring+xor,8,0.5833333333333334,1.0
fsnet,ring+xor,32,0.25,0.2916666666666667
fsnet,ring+xor,128,0.0,0.0
fsnet,ring+xor+sum,8,0.8055555555555557,1.0
fsnet,ring+xor+sum,32,0.4166666666666667,0.5
