optimizer,score,lr,C,p,val_acc,sparsity,train_steps
ADMM_layer,second order,0.0005,1.0,,0.079,0.0355174826485608,16
ADMM_layer,second order,0.0005,2.0,,0.103,0.07278708654071592,16
ADMM_layer,second order,0.0005,5.0,,0.085,0.19966039207323388,16
ADMM_layer,first order + second order,0.001,0.01,,0.133,0.000424048985647171,16
ADMM_layer,first order + second order,0.001,0.05,,0.178,0.0015314928583083334,16
ADMM_layer,first order + second order,0.001,0.1,,0.164,0.0033544425737806823,16
ADMM_layer,first order + second order,0.001,0.2,,0.125,0.007077008832202894,16
ADMM_layer,first order + second order,0.001,0.5,,0.132,0.01764182057135377,16
ADMM_layer,first order + second order,0.001,1.0,,0.134,0.03556465041616721,16
ADMM_layer,first order + second order,0.001,2.0,,0.108,0.07286021962664638,16
ADMM_layer,first order + second order,0.001,5.0,,0.085,0.1998678073379526,16
ADMM_layer,first order + second order,0.0005,0.01,,0.085,0.0005414306613842864,16
ADMM_layer,first order + second order,0.0005,0.05,,0.143,0.0017353743814799987,16
ADMM_layer,first order + second order,0.0005,0.1,,0.177,0.003530822369260013,16
ADMM_layer,first order + second order,0.0005,0.2,,0.201,0.0071244838816829584,16
ADMM_layer,first order + second order,0.0005,0.5,,0.164,0.01766409850719393,16
ADMM_layer,first order + second order,0.0005,1.0,,0.105,0.03556080939274649,16
ADMM_layer,first order + second order,0.0005,2.0,,0.089,0.07285837593540444,16
ADMM_layer,first order + second order,0.0005,5.0,,0.085,0.1996470253117298,16
ADMM_neuron,first order,0.001,0.01,,0.189,0.0008505562262836009,16
ADMM_neuron,first order,0.001,0.05,,0.23,0.005398635238286338,16
ADMM_neuron,first order,0.001,0.1,,0.172,0.011006222150659687,16
ADMM_neuron,first order,0.001,0.2,,0.109,0.022174842771547295,16
ADMM_neuron,first order,0.001,0.5,,0.224,0.05688371316957873,16
ADMM_neuron,first order,0.001,1.0,,0.191,0.11897093758767135,16
ADMM_neuron,first order,0.001,2.0,,0.112,0.2653650923489579,16
ADMM_neuron,first order,0.001,5.0,,0.085,0.9895453488125553,16
ADMM_neuron,first order,0.0005,0.01,,0.138,0.0009957469115867083,16
ADMM_neuron,first order,0.0005,0.05,,0.091,0.00551294409528688,16
ADMM_neuron,first order,0.0005,0.1,,0.218,0.010969041043947147,16
ADMM_neuron,first order,0.0005,0.2,,0.136,0.022170540825316092,16
ADMM_neuron,first order,0.0005,0.5,,0.057,0.05668736005231167,16
